[LOG] SystemI::init                            : Initialize version=20219 (137979), maxchannels=512, flags=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=3141816, lengthpcm=785454, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Intro_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=5236364, lengthpcm=1309091, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938184, lengthpcm=10734546, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938180, lengthpcm=10734545, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Loop 3_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938184, lengthpcm=10734546, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 2_Boss Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=1145452, lengthpcm=286363, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 2_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=14629092, lengthpcm=3657273, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 2_Boss Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=16232728, lengthpcm=4058182, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Loading Ambience_001.L.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=1, frequency=48000, lengthbytes=4712728, lengthpcm=2356364, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 1_Boss Ambience_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=21513536, lengthpcm=5378384, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 2_Boss Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=2094544, lengthpcm=523636, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 2_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=10472728, lengthpcm=2618182, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 2_Boss Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=10472728, lengthpcm=2618182, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Boss Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=2094544, lengthpcm=523636, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=10472728, lengthpcm=2618182, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Boss Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=9425456, lengthpcm=2356364, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Helheim 1_Boss Loop 3 LOW HEALTH_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=17280000, lengthpcm=4320000, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Asgard 2_Boss Intro_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=5236364, lengthpcm=1309091, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Asgard 2_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=9425452, lengthpcm=2356363, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Asgard 2_Boss Loop 2 Low Health_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=6283636, lengthpcm=1570909, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Crypt_Boss Chord Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=785452, lengthpcm=196363, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Crypt_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=9425456, lengthpcm=2356364, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Crypt_Boss Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=7330912, lengthpcm=1832728, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/MenuMusic.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=52799768, lengthpcm=13199942, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Boss Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=1570908, lengthpcm=392727, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Boss Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=9425456, lengthpcm=2356364, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Boss Loop 2 Low Health_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=5236364, lengthpcm=1309091, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Boss Loop 3 Low Health_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=44100, lengthbytes=4812800, lengthpcm=1203200, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Main Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938180, lengthpcm=10734545, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Main Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938184, lengthpcm=10734546, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Vanaheim 2_Main Loop 3_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938180, lengthpcm=10734545, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 1_Loop 1_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938180, lengthpcm=10734545, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 1_Loop 2_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=42938184, lengthpcm=10734546, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 1_Loop 3_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=43985456, lengthpcm=10996364, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 1_Boss Fill_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=1570908, lengthpcm=392727, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/Music/Svartalfheim 1_Boss Loop_001.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=9425452, lengthpcm=2356363, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Blink.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=115312, lengthpcm=28828, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_MissedBeat.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=36980, lengthpcm=9245, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Hurt0.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=142492, lengthpcm=35623, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Hurt1.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=166084, lengthpcm=41521, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Hurt2.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=173216, lengthpcm=43304, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_TakeDamage.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=121720, lengthpcm=30430, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_TakeDamage0.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=66820, lengthpcm=16705, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_LowHealth.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=60444, lengthpcm=15111, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Block.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=175580, lengthpcm=43895, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Block_Start.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=204824, lengthpcm=51206, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Jump0.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=100772, lengthpcm=25193, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Jump1.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=109876, lengthpcm=27469, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_Jump2.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=98540, lengthpcm=24635, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_CastFireball.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=343864, lengthpcm=85966, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Player_CastMagic.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=326508, lengthpcm=81627, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Fireball_Explosion.wav', mode=0x00000010
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=411800, lengthpcm=102950, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Weapon_Empty.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=15000, lengthpcm=3750, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Weapon_LowAmo.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=80808, lengthpcm=20202, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Revolver_Fire1.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=171728, lengthpcm=42932, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Revolver_Fire2.wav', mode=0x00000000
[LOG] SystemI::createSoundInternal             : Sample 0/0: name='(null)', format=2, channels=2, frequency=48000, lengthbytes=241804, lengthpcm=60451, pcmblocksize=0, loopstart=0, loopend=0, mode=0x00000000, channelmask=0x00000000, channelorder=0, peakvolume=0.000000.
[LOG] SystemI::createSoundInternal             : Create name='../Bin/Resource/Sound/SFX/Revolver_Fire3.wav', mode=0x00000000
